asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B00QHAXV5S,Gluten-Free Gourmet Italian Meat Gift Crate - over 3.8lb of meat!,https://m.media-amazon.com/images/I/51JiZBEPTXL.jpg,4.3,60 ratings," New for 2020 - now packaged in a gift crate for an impressive presentation  , Specially selected dry-cured Italian meats representing 5 different regions of Old World Italy  , Includes Italian classics like pepperoni and salami in addition to artisan wine cured specialty products.  , Gourmet Italian meat ready to slice and pair with your favorite wine and cheese, or put on pizza, etc  , Certified gluten free  ","Brand: Battistoni,Size: 8 Piece Assortment,Flavor: Cheese,Weight: 7 Pounds,Cuisine: Italian",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
B071PDFCBP,"Kosher MRE Meat Meals Ready to Eat, Beef Lamb Kabob & Quinoa (1 Pack) Prepared Entree Fully Cooked, Shelf Stable Microwave Dinner – Travel, Military, Camping, Emergency Survival Protein Food Supply",https://m.media-amazon.com/images/I/51xSCTyQRyL.jpg,3.7,123 ratings," Beef & Lamb Kabob with Onions & Pimento (Microwavable, Shelf Stable) – Dairy Free, Glatt Kosher (12 oz, Pack of 1)  , EASY TO PREPARE: Prepared dinner meals, fully cooked, quick and easy to prepare and serve. Simply unwrap and pop into a microwave for 2 minutes, or place as is in boiling water, heat for 7 - 10 minutes.  , TRAVEL BETTER: Good to go meal for a better travel experience. MEAL SOLUTIONS FOR: Traveling, Hiking, Backpacking, Camping, Hunting, Fishing, Boating, Military, Collage Students, Correctional, or Long Term Emergency Preparedness Supply Kit and Survival Food storage Preparations.  , SHELF STABLE: No refrigeration needed, long shelf life, may be stored in a dry, refrigerated, or frozen area. Packed and sealed in a microwavable tray. (We guarantee the quality of each meal for up to 3 years from the date of manufacturing - so long as they are not damaged in any way).  , FINEST INGREDIENTS: Our dishes are prepared with the finest ingredients - then sterilized to preserve freshness, flavor and texture. No preservatives, No MSG Added. Made in the USA. GLATT KOSHER: Certified by the Orthodox Union (OU), and Rabbi Getzel Berkowitz of Kiryas Joel.  ","Brand: KJ Poultry,Size: 12 Ounce (Pack of 1),Flavor: Beef,Weight: 12 Ounces,Cuisine: Usa"," Style: , 1 Pack ","
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                 Lamb
             "
B07RK58FQC,Cameron's Seafood Lobster Meat 2 Pounds,https://m.media-amazon.com/images/I/51u3jlg10oL.jpg,4.0,27 ratings," Delicious Atlantic lobster meat sold in a 2 lb. bag. of tail & claw meat  , Flash frozen to preserve maximum freshness. Cold water lobster meat is sweet, tender and mild. Fully cooked and ready to eat.  ","Brand: CAMERON'S SEAFOOD -EST. 1985 -,Weight: 2 Pounds,Allergen Information: Shellfish,Variety: Lobster",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Seafood
            ,
                 Fresh Seafood
             "
B00DJLKZQG,"Sea Best Tilapia Fillets, 16 Ounce (Pack of 10), 1 Pound (Pack of 10)",https://m.media-amazon.com/images/I/513OXUytpFL.jpg,4.0,77 ratings," Mild flavor  , Excellent source of protein  , Naturally low in fat  , Farm raised  , Best Aquaculture Practices (BAP) certified  , Resealable bag  , Individually Quick Frozen  , Product of China  ","Brand: Sea Best,Weight: 16 Ounces,Specialty: Farm Raised,Allergen Information: Fish, Crustacean,Item Form: Sliced",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Seafood
            ,
                Fresh Seafood
            ,
                Fresh Fish
            ,
                 Tilapia
             "
B07R4Y62H3,Buffalo Bills 20-Piece Ole’ Smokies Beef Stick Bouquet (packed in a black stainless steel tumbler),https://m.media-amazon.com/images/I/41GtfV+xc-L.jpg,3.8,10 ratings," Each bouquet contains 20 assorted 1.25oz individually wrapped Buffalo Bills Ole’ Smokies  , Each bouquet is packed in a rugged 16oz black stainless steel tumbler (5”h x 3.43”d)  , Old-fashioned flavor and quality in every bite - USDA inspected and approved  , The 10 flavors included are Beef & Cheese, Chili Pepper, Honey Ham, Honey Stung, Jalapeno & Cheese,  , Mild, Pepperoni, Spicy, Teriyaki, and Turkey  ","Brand: Buffalo Bills,Flavor: Ole Smokies,Item Form: Stick,Weight: 1.25 Ounces,Unit Count: 20.00 Count"," Flavor Name: , Ole Smokies ","
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
B0057FSSBG,"Armour Star Vienna Sausage Bites, Original Flavor, Canned Sausage, 10 OZ (Pack of 12)",https://m.media-amazon.com/images/I/511jke6fK5L.jpg,4.2,"2,848 ratings"," Twelve 10 oz cans of Armour Star Original Vienna Canned Sausage Bites  , Versatile, ready to eat canned sausages can be an ingredient in an easy meal  , Canned meat that is made with chicken, beef and pork  , Eat right out of the can, add to recipes or serve as an appetizer  , Ready to eat meat in a can that doesn’t require any cooking  , Store Vienna sausage cans in the refrigerator after opening to keep fresh  ","Brand: Armour,Size: 10 Ounce (Pack of 12),Flavor: Original,Weight: 10 Ounces,Cuisine: Viennese"," Flavor Name: , Original ","
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Meat, Poultry & Seafood
            ,
                 Chicken
             "
B00YIV7E92,"Jack Link’s Beef Tender Bites, Original Beef Steak, 2.85 oz Bag, Pack of 2 – On-the-Go, Poppable Meat Snack, Good Source of Protein, Made with 100% Beef, 10g of Protein Per Serving",https://m.media-amazon.com/images/I/51rQGi4HWHL.jpg,4.5,297 ratings," GOOD SOURCE OF PROTEIN – On-the-go snacks should have plenty of protein and Jack Link’s Original Beef Tender Bites are a quick way to get more. With 10g of protein and 70 calories per serving, these meat snacks help keep you satisfied on busy days.  , MADE WITH 100% BEEF – Our tender beef nuggets are made with lean cuts of 100% premium beef, marinated with our classic Original spice blend. Then, we slow cook it over hardwood smoke for the delicious taste everyone loves.  , TENDER AND EASY TO CHEW – Jack Link’s expertly crafted meat snack bites are slow cooked, resulting in a tender, easy to chew snack. Even the kiddos will love this snack in their lunchbox or on-the-go during busy days.  , ON-THE-GO – There’s no better quick snack than our poppable beef nuggets. It’s the perfect snack to help power thru your mid-morning snack attack, getting over the 2pm slump or fueling your weekend to-do list.  , #1 SELLING BEEF JERKY BRAND - When you open a bag of Jack Link’s, you get a taste of the American tradition that made this family business a success: hard work, fun and quality products. Our protein snacks are the fuel for people to Feed Their Wild Side.  ","Brand: Jack Link's,Flavor: Original,Item Form: Bites,Package Type: Bag,Weight: 2.85 Ounces",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Meat Snacks
            ,
                 Jerky
             "
B006IE1K24,"Hickory Farms Sausage & Cheese Small Gift Box | Gourmet Food Gift Basket, Great for Snacking, Small Gatherings, Birthday, Family, Congratulations Gifts, Thinking of You, Retirement, Sympathy, Business and Corporate Gifts",https://m.media-amazon.com/images/I/51khmNQd+VL.jpg,4.5,"1,712 ratings"," MEAT & CHEESE: 10 oz Farmhouse Summer Sausage, 4 oz Smooth & Sharp Cheddar Blend  , CONDIMENTS, CRACKERS & SWEETS: 1.25 oz Sweet Hot Mustard, 1 oz Golden Toasted Crackers, (4) Strawberry Bon Bons  , WEIGHT: 1.08 lbs  , GOURMET FOOD: Shelf-stable summer sausage and cheese, perfect for individual snacking.  , INDIVIDUAL SNACKING: Great for business or corporate gifting, birthdays, care packages, watch parties, snacking, and more.  ","Brand: Hickory Farms,Flavor: Cheese,Weight: 1 Ounces,Size: 9 Piece Set",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Sausages
            ,
                 Summer
             "
B0055PO8EE,Crown Prince Boiled Whole Oysters - 8 oz,https://m.media-amazon.com/images/I/51wdkwr2UKL.jpg,3.8,16 ratings, Dairy Free  ,"Brand: Crown Prince,Weight: 4.05 Kilograms,Protein: 7 Grams,Package Weight: 8.5 Pounds,Variety: Oyster",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Seafood
            ,
                Fresh Seafood
            ,
                Fresh Shellfish
            ,
                 Oysters
             "
B08C38BRDG,"Roasted Eel Jerky [ Korean Snacks ] Korean Eel Snack, Ready to Eat Real Seafood, Rich in Nutrients, Source of Omega 3 [ JRND Foods ] Four Pack",https://m.media-amazon.com/images/I/51AE3jLS+sL.jpg,3.6,89 ratings," PREMIUM QUALITY - Through 30 years of experience in seafood industry, only the premium quality eels are used.  , SLIPPERY SUPERFOOD - Rich in omega 3, high in protein, and packed full of healthy fatty acids, eel is a surprisingly tasty package of nutrients and vitamins.  , CHEWY, SWEET, SALTY - Take it a step further and roast the eel jerky over an open flame for more enjoyment of the rich eel flavor.  , SNACKING ON THE GO - Fuel your active lifestyle with this portable pack of premium seafood snacks! Makes a great work or school snack.  , CENTER OF KOREAN CUISINE - Jeollanamdo Foods are all cultivated with all natural practices, no artificial or chemical fertilizers.  ","Brand: JEOLLANAMDO,Specialty: High Protein,Item Form: Sliced,Package Weight: 0.14 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Seafood
            ,
                 Dried Seafood
             "
